,symbol,data,data_weights,model_name,val_mse,test_mse,test_mae,test_mape
46,ETH,QGAN,1.0,BD_LSTM,0.0019001270411536098,0.0021591896656900644,0.03231403976678848,4.5392937660217285
47,ETH,QGAN,1.0,TCN,0.0018755911150947213,0.002167819533497095,0.032366324216127396,4.509552955627441
48,ETH,QGAN,10.0,LSTM,0.0018722510430961847,0.002155083464458585,0.03216344118118286,4.490033149719238
49,ETH,QGAN,10.0,BD_LSTM,0.0018759127706289291,0.002153166336938739,0.03216630220413208,4.497658729553223
50,ETH,QGAN,10.0,TCN,0.0018706867704167962,0.0021516280248761177,0.03214498236775398,4.493060111999512
51,ETH,QGAN,50.0,LSTM,0.0019362799357622862,0.0021853623911738396,0.03279951587319374,4.617359161376953
52,ETH,QGAN,50.0,BD_LSTM,0.001898689428344369,0.002186069032177329,0.03266153112053871,4.554391384124756
53,ETH,QGAN,50.0,TCN,0.0018834220245480537,0.002162445802241564,0.03231962397694588,4.520340442657471
54,XRP,QGAN,1.0,LSTM,0.0021022609435021877,0.001221354934386909,0.024959178641438484,5.185683250427246
55,XRP,QGAN,1.0,BD_LSTM,0.002094781259074807,0.0011903139529749751,0.024281447753310204,5.024814605712891
56,XRP,QGAN,1.0,TCN,0.0021020688582211733,0.0012092138640582561,0.02444959618151188,5.060293674468994
57,XRP,QGAN,10.0,LSTM,0.0021178603637963533,0.0012423358857631683,0.02528892457485199,5.256906509399414
58,XRP,QGAN,10.0,BD_LSTM,0.0020973102655261755,0.0011982412543147802,0.024440892040729523,5.06129789352417
59,XRP,QGAN,10.0,TCN,0.002104077022522688,0.0012155581498518586,0.024631626904010773,5.112060070037842
60,XRP,QGAN,50.0,LSTM,0.002149867592379451,0.0012023732997477055,0.024202389642596245,4.958752632141113
61,XRP,QGAN,50.0,BD_LSTM,0.0021136619616299868,0.0011867763241752982,0.024039043113589287,4.942137241363525
62,XRP,QGAN,50.0,TCN,0.0020839544013142586,0.0011755627347156405,0.024025289341807365,4.963689804077148
63,BTC,TCVAE,1.0,LSTM,0.0014602587325498462,0.00111915182787925,0.02322474680840969,3.2243330478668213
64,BTC,TCVAE,1.0,BD_LSTM,0.0014573369408026338,0.001109318109229207,0.023076608777046204,3.1983673572540283
65,BTC,TCVAE,1.0,TCN,0.0014549478655681014,0.0011126177851110697,0.023117564618587494,3.207174062728882
66,BTC,TCVAE,10.0,LSTM,0.0014619415160268545,0.0011158020934090018,0.023206965997815132,3.215597152709961
67,BTC,TCVAE,10.0,BD_LSTM,0.0014589637285098433,0.001109579810872674,0.023079395294189453,3.1970160007476807
68,BTC,TCVAE,10.0,TCN,0.0014551979256793857,0.001112585887312889,0.02311200648546219,3.2067861557006836
69,BTC,TCVAE,50.0,LSTM,0.0014696012949571013,0.0011214923579245806,0.02331780642271042,3.226461887359619
70,BTC,TCVAE,50.0,BD_LSTM,0.0014788554981350899,0.0011312145506963134,0.023498287424445152,3.253105640411377
71,BTC,TCVAE,50.0,TCN,0.0014581256546080112,0.0011144980089738965,0.023164693266153336,3.2124381065368652
72,ETH,TCVAE,1.0,LSTM,0.0018494337564334273,0.0021259584464132786,0.03191446140408516,4.485008239746094
73,ETH,TCVAE,1.0,BD_LSTM,0.0018546581268310547,0.002132939640432596,0.03202814608812332,4.493092060089111
74,ETH,TCVAE,1.0,TCN,0.001851557637564838,0.0021406610030680895,0.032096706330776215,4.513676166534424
75,ETH,TCVAE,10.0,LSTM,0.0018556744325906038,0.0021260615903884172,0.03193902596831322,4.496285915374756
76,ETH,TCVAE,10.0,BD_LSTM,0.0018536936258897185,0.002128082560375333,0.03196749836206436,4.49652099609375
77,ETH,TCVAE,10.0,TCN,0.0018484393367543817,0.0021404940634965897,0.03207932412624359,4.497142791748047
78,ETH,TCVAE,50.0,LSTM,0.0018724201945587993,0.0021469395142048597,0.03227934613823891,4.535279273986816
79,ETH,TCVAE,50.0,BD_LSTM,0.0018694328609853983,0.0021420354023575783,0.032229647040367126,4.530575275421143
80,ETH,TCVAE,50.0,TCN,0.0018457992700859904,0.0021334749180823565,0.032044894993305206,4.492128372192383
81,XRP,TCVAE,1.0,LSTM,0.0020574929658323526,0.0011428280267864466,0.02341262623667717,4.767370700836182
82,XRP,TCVAE,1.0,BD_LSTM,0.0020488426089286804,0.0011500403052195907,0.02366630919277668,4.83209228515625
83,XRP,TCVAE,1.0,TCN,0.0020649682264775038,0.0011454755440354347,0.023602033033967018,4.813884735107422
84,XRP,TCVAE,10.0,LSTM,0.0020606282632797956,0.0011499422835186124,0.023583462461829185,4.806685447692871
85,XRP,TCVAE,10.0,BD_LSTM,0.0020413279999047518,0.0011635394766926765,0.02402174100279808,4.921871185302734
86,XRP,TCVAE,10.0,TCN,0.002053073840215802,0.0011367738479748368,0.023308221250772476,4.739130020141602
87,XRP,TCVAE,50.0,LSTM,0.0020657586865127087,0.001154970028437674,0.023644598200917244,4.8178911209106445
88,XRP,TCVAE,50.0,BD_LSTM,0.0020797443576157093,0.00116348871961236,0.023709736764431,4.817360877990723
89,XRP,TCVAE,50.0,TCN,0.002043729182332754,0.0011729926336556673,0.02415841817855835,4.9402995109558105
